OBJECTID,CECPlantID,PlantName,Retired Plant,Operator Company,County,Capacity_Latest,Units,PriEnergySource,StartDate,CEC_Jurisdictional,x,y
4970,S0629,Intel Corporation - Folsom Carport Phase 3,0,Tesla Inc.,Sacramento,6.45,9568336-CA,SUN,9/29/2016 12:00:00 AM,0,-121.164643051,38.64547005
4971,S9096,Intel Corporation - Folsom Carport Phase 2,0,Not Available,Sacramento,1,1,SUN,1/1/2012 12:00:00 AM,0,-121.172724863,38.644235715
4972,S9098,Intel Corporation,0,Not Available,Sacramento,1,1,SUN,1/1/2012 12:00:00 AM,0,-121.167723079,38.6454980410001
4973,G0801,Kirkwood Meadows PUD,0,Kirkwood Meadows ,Amador,7.15,"1, 2, 3, 4, 5, 6, 7, 8, Old 3-8, Unit 1-8",DFO,1/1/1972 12:00:00 AM,0,-120.064650294,38.686588241
4974,W0418,Milford Wind 2 - (Utah),0,Longroad Energy,Beaver,100.5,Milford Wind 2,WND,6/10/2010 12:00:00 AM,0,-112.917733295,38.590857774
4975,S0309,Cloverdale Solar I,0,GreenLead-TNX Management,Sonoma,2,1,SUN,6/1/2014 12:00:00 AM,0,-123.019085655,38.7757603220001
4976,S0692,Cloverdale Solar Center,0,"Adapture Renewables, Inc.",Sonoma,1,Unit 1,SUN,6/11/2019 12:00:00 AM,0,-123.020461271,38.769171295
4977,S9013,Fosters Wine Estates Inc.,0,Not Available,Sonoma,1,1,SUN,1/1/2012 12:00:00 AM,0,-122.972648348,38.762562775
4978,S9305,Cloverdale Solar 1  LLC_(FSEC1),0,Not Available,Sonoma,1.5,Unit 1,SUN,12/31/2013 12:00:00 AM,0,-123.01707735,38.773895888
4979,S9306,Cloverdale Solar 2  LLC_(FSEC2),0,Not Available,Sonoma,1.5,Unit 1,SUN,12/31/2013 12:00:00 AM,0,-123.016651122,38.7747519640001
4980,T0007,West Ford Flat #4 (retired 12/2016),1,Geysers Power Company LLC,Lake,0,"WFST1, WFST2",GEO,12/1/1988 12:00:00 AM,0,-122.722142705,38.787984538
4981,T0023,Aidlin #1,0,Geysers Power Company LLC,Sonoma,22.4,"ADST1, ADST2",GEO,5/1/1989 12:00:00 AM,0,-122.881086915,38.833908857
4982,T0027,Quick Silver #16,0,Geysers Power Company LLC,Lake,120,QKST16,GEO,1/1/1985 12:00:00 AM,1,-122.721977616,38.7879832560001
4983,T0028,Lakeview #17,0,Geysers Power Company LLC,Sonoma,120,LVST17,GEO,1/1/1982 12:00:00 AM,1,-122.781434526,38.823504024
4984,T0029,Socrates #18,0,Geysers Power Company LLC,Sonoma,120,SCST18,GEO,1/1/1983 12:00:00 AM,1,-122.747745947,38.768823915
4985,T0030,Grant #20,0,Geysers Power Company LLC,Sonoma,120,GTST20,GEO,10/1/1985 12:00:00 AM,1,-122.755065334,38.7790973040001
4986,T0039,Geothermal 1,0,Northern California Power Agency,Sonoma,110,"1, 2",GEO,1/1/1983 12:00:00 AM,1,-122.719211995,38.7519345470001
4987,T0046,Sonoma #3,0,Geysers Power Company LLC,Sonoma,78,SOST3,GEO,12/1/1983 12:00:00 AM,1,-122.756255644,38.79021371
4988,T0050,Calistoga #19,0,Geysers Power Company LLC,Lake,97,"CAST1, CAST2",GEO,3/1/1984 12:00:00 AM,1,-122.744892548,38.789585452
4989,T0055,McCabe #5-#6,0,Geysers Power Company LLC,Sonoma,110,"MCST5, MCST6",GEO,12/1/1971 12:00:00 AM,0,-122.808707826,38.80562503
4990,T0056,Ridge Line #7-#8,0,Geysers Power Company LLC,Sonoma,110,"RLST7, RLST8",GEO,1/1/1972 12:00:00 AM,0,-122.801312203,38.814933013
4991,T0058,Eagle Rock #11,0,Geysers Power Company LLC,Sonoma,110,ERST11,GEO,1/1/1975 12:00:00 AM,0,-122.800396001,38.8269747100001
4992,T0059,Cobb Creek #12,0,Geysers Power Company LLC,Sonoma,110,CCST12,GEO,1/1/1979 12:00:00 AM,0,-122.784191671,38.8046128120001
4993,T0060,Big Geysers #13,0,Geysers Power Company LLC,Lake,95,BGST13,GEO,1/1/1980 12:00:00 AM,0,-122.728695612,38.7726703860001
4994,T0061,Sulphur Springs #14,0,Geysers Power Company LLC,Sonoma,117.5,SSST14,GEO,1/1/1980 12:00:00 AM,0,-122.78231424,38.7861095710001
4995,T0080,Bottle Rock Power,0,Bottle Rock Power LLC,Lake,55,1,GEO,2/1/1985 12:00:00 AM,1,-122.768269233,38.834867914
4996,T0005,Bear Canyon #2 (Retired January 2016),1,Geysers Power Company LLC,Lake,0,"BCST1, BCST2",GEO,9/1/1988 12:00:00 AM,0,-122.691869394,38.7627905470001
4997,T0057,Fumarole #9-#10,1,Geysers Power Company LLC,Sonoma,0,"FUST10, FUST9",GEO,7/1/1973 12:00:00 AM,0,-122.766637822,38.796143059
4998,H0576,Clear Lake,0,Yolo County Flood Control & Water Conservation District,Lake,2.5,3381,WAT,1/1/1986 12:00:00 AM,0,-122.566654438,38.923549839
4999,S9051,Power Agency Northern California,0,Not Available,Lake,1,1,SUN,1/1/2012 12:00:00 AM,0,-122.650953883,38.7704806240001
5000,G0213,Roseville Energy Park (REP),0,City of Roseville,Placer,267.2,"CT1, CT2, CT5 & CT6, STG1",NG,10/15/2007 12:00:00 AM,1,-121.382055391,38.792772799
5001,S9008,Foods Inc. United Natural,0,Not Available,Placer,1,1,SUN,1/1/2012 12:00:00 AM,0,-121.283191895,38.8141288350001
5002,S9268,Lincoln Solar Millenium Fund LLC_(Lincoln Solar #A),0,Not Available,Placer,1.5,Unit 1,SUN,12/31/2013 12:00:00 AM,0,-121.331727639,38.9080399790001
5003,S9269,Lincoln Solar Millenium Fund LLC_(Lincoln Solar #B),0,Not Available,Placer,1.5,Unit 1,SUN,12/31/2013 12:00:00 AM,0,-121.30437484,38.8701187460001
5004,S9270,Lincoln Solar Millenium Fund LLC_(Nicholas Solar #C),0,Not Available,Placer,1.5,Unit 1,SUN,12/31/2013 12:00:00 AM,0,-121.296850592,38.8725268810001
5005,E0004,SPI - Lincoln,0,Sierra Pacific Industries Inc,Placer,19.2,"GEN 2, GEN 3, GEN 4",WDS,6/1/1997 12:00:00 AM,0,-121.309738297,38.9030990200001
5006,E0099,Rio Bravo Rocklin,0,IHI Power Services Corp,Placer,24.3,Unit 1,WDS,6/1/1989 12:00:00 AM,0,-121.313477271,38.8318503610001
5007,E0225,Lincoln Landfill - WPWMA,0,Energy 2001 Inc,Placer,4.86,"Unit 1, Unit 2, Unit 3, Unit 4, Unit 5, Unit 6",LFG,11/8/2004 12:00:00 AM,0,-121.341706842,38.838139949
5008,G0382,Roseville,0,City of Roseville,Placer,50.4,"1, 2",NG,4/1/1986 12:00:00 AM,0,-121.323870949,38.810698399
